checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_ended_rental_id_category,delay_status,delay_slices,time_delta,time_delta_cat,financial_cost
mobile,ended,-18.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,15.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-3.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-90.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-14.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-37.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,28.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,14.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,274.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,7.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-32.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,42.0,536789.0,120.0,rented_before,delayed,30 mins < Delay <= 1 hour,78.0,no lack of time between two rentals,0.0
mobile,ended,69.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,116.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,64.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,23.0,514474.0,0.0,rented_before,delayed,10 <= Delay <= 30 mins,-23.0,lack of time between two rentals,-1.9320000000000002
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-26.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-83.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,102.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,78.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
connect,ended,-82.0,541766.0,0.0,rented_before,in advance,In advance > 30 mins,82.0,no lack of time between two rentals,0.0
connect,ended,-324.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,6.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,72.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,12.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
connect,ended,49.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-7.0,511338.0,30.0,rented_before,in advance,Delay <= 10 mins,37.0,no lack of time between two rentals,0.0
mobile,ended,14.0,541317.0,150.0,rented_before,delayed,10 <= Delay <= 30 mins,136.0,no lack of time between two rentals,0.0
mobile,ended,5.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,103.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,-104.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-78.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,13.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,ended,40.0,545831.0,90.0,rented_before,delayed,30 mins < Delay <= 1 hour,50.0,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,29.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-104.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-7.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-20.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,20.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-50.0,544363.0,660.0,rented_before,in advance,In advance > 30 mins,710.0,no lack of time between two rentals,0.0
mobile,ended,153.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-45.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,92.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,8.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,12.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-66.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-45.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,55.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-39.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,533006.0,180.0,rented_before,,No delay,,no lack of time between two rentals,
connect,ended,76.0,528385.0,480.0,rented_before,delayed,1 hour < Delay <= 2 hours,404.0,no lack of time between two rentals,0.0
mobile,ended,-264.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-6.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,77.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,5.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-136.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-24.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,6.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-19.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,23.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,0.0,,,no_rented_before or delay > 12 hours,in time,No delay,,no lack of time between two rentals,0.0
mobile,ended,39.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,79.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,73.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
connect,ended,-972.0,546332.0,60.0,rented_before,in advance,In advance > 30 mins,1032.0,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,29.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,18.0,542526.0,0.0,rented_before,delayed,10 <= Delay <= 30 mins,-18.0,lack of time between two rentals,-1.512
mobile,ended,205.0,540131.0,60.0,rented_before,delayed,2 hours < Delay <= 4 hours,-145.0,lack of time between two rentals,-12.180000000000001
mobile,ended,96.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,64.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
connect,ended,-221.0,544389.0,480.0,rented_before,in advance,In advance > 30 mins,701.0,no lack of time between two rentals,0.0
mobile,ended,407.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,327.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
connect,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,13.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-7.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,205.0,528516.0,60.0,rented_before,delayed,2 hours < Delay <= 4 hours,-145.0,lack of time between two rentals,-12.180000000000001
mobile,ended,20.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-30.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,4.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,103.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,-19.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-35.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,36.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-29.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
connect,ended,-11.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,-59.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-115.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-144.0,535665.0,60.0,rented_before,in advance,In advance > 30 mins,204.0,no lack of time between two rentals,0.0
mobile,ended,-111.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,422.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,4.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,312.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,1610.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,122.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-5.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,-720.0,542904.0,240.0,rented_before,in advance,In advance > 30 mins,960.0,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,ended,-5.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,-135.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,13.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,594.0,537074.0,0.0,rented_before,delayed,Delay > 4 hours,-594.0,lack of time between two rentals,-49.896
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,20.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,33.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,ended,-42.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,37.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,58.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
connect,ended,-27.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,126.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,5.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-43.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,-44.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,85.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
connect,ended,-77.0,549312.0,690.0,rented_before,in advance,In advance > 30 mins,767.0,no lack of time between two rentals,0.0
mobile,ended,-109.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-1.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,9.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-15.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,101.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,6.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,26.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,31.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,82.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,-23.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,37.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-48.0,539624.0,510.0,rented_before,in advance,In advance > 30 mins,558.0,no lack of time between two rentals,0.0
connect,ended,72.0,542725.0,720.0,rented_before,delayed,1 hour < Delay <= 2 hours,648.0,no lack of time between two rentals,0.0
mobile,ended,262.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,89.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,-155.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,13.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-1418.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,11.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,0.0,,,no_rented_before or delay > 12 hours,in time,No delay,,no lack of time between two rentals,0.0
mobile,ended,167.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-8.0,545465.0,330.0,rented_before,in advance,Delay <= 10 mins,338.0,no lack of time between two rentals,0.0
mobile,ended,12968.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-6.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,4.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-89.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-77.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-178.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,-130.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-22.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,16.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-12.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,19.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,146.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,352.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-4.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,71.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
connect,ended,-125.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,2444.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,22.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-311.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,859.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-85.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-60.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-10.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,136.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-83.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,78.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,49.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,15.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-47.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,26.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,187.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
connect,ended,27.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-2.0,539387.0,660.0,rented_before,in advance,Delay <= 10 mins,662.0,no lack of time between two rentals,0.0
mobile,ended,-172.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,131.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,65.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,14.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-75.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,96.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,137.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-12.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-50.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-343.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-71.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-6.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
