checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_status,delay_slices
mobile,ended,780.0,no_rented_before,,delayed,Delay > 4 hours
connect,ended,-130.0,no_rented_before,,in advance,In advance < 30 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,271.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,-12.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,933.0,no_rented_before,,delayed,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,1967.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,-125.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-96.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,205.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,18.0,rented_before,0.0,delayed,10 <= Delay <= 30 mins
mobile,ended,48.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,266.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,36.0,no_rented_before,,delayed,Delay <= 1 hour
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-35.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,80.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,3233.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,-24.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,-129.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,2.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-37.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,8.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-155.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,134.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,-15.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,13.0,no_rented_before,,delayed,Delay <= 10 mins
connect,ended,-348.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-120.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,85.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,-35.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,66.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,32.0,no_rented_before,,delayed,Delay <= 1 hour
connect,ended,41.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,3.0,no_rented_before,,delayed,Delay <= 10 mins
connect,ended,-536.0,no_rented_before,,in advance,In advance < 30 mins
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
