checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_ended_rental_id_category,delay_status,delay_slices
mobile,ended,-7.0,531158.0,90.0,rented_before,in advance,Delay <= 10 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
connect,ended,-178.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,37.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,24.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,40.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,137.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,249.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,23.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
connect,ended,-108.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-6.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,-150.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,9.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,68.0,535512.0,300.0,rented_before,delayed,1 hour < Delay <= 2 hours
connect,ended,38.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,-1.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,74.0,524703.0,60.0,rented_before,delayed,1 hour < Delay <= 2 hours
mobile,ended,-10.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,-843.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,780.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
connect,ended,-130.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,271.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,-12.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,933.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,1967.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,-125.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-96.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,205.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,18.0,539005.0,0.0,rented_before,delayed,10 <= Delay <= 30 mins
mobile,ended,48.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,266.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,36.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-35.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,80.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,3233.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,-24.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,-129.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,2.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-37.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,8.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-155.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,134.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,-15.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,13.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
connect,ended,-348.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-120.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,85.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,-35.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,66.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,32.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
connect,ended,41.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,3.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
connect,ended,-536.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,216.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,28.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,-51.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,93.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,-196.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,9.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-988.0,543426.0,720.0,rented_before,in advance,In advance < 30 mins
mobile,ended,-6.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,-18.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-62.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,210.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,12.0,539751.0,0.0,rented_before,delayed,Delay <= 10 mins
mobile,ended,-24.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,-5.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay
connect,ended,90.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,15422.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,-14.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,11.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-7.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,146.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,-25.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,13.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,901.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,52.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,125.0,540607.0,0.0,rented_before,delayed,2 hours < Delay <= 4 hours
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,165.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,-25.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,83.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,69.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,156.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,-720.0,539897.0,30.0,rented_before,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,12.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,50.0,540444.0,180.0,rented_before,delayed,30 mins < Delay <= 1 hour
mobile,ended,-7.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,183.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-170.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-36.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,-106.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,9.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-21.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,64.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,23.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,14.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,5.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,300.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,-18.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,12.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
connect,ended,48.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
connect,ended,-9.0,552619.0,240.0,rented_before,in advance,Delay <= 10 mins
